poi_category,friction_code,friction_label,count,n_sentences,pct_of_sentences
castle_historic,transport_access,Transport / Access,4,857,0.5
castle_historic,wayfinding_signage,Wayfinding / Signage,0,857,0.0
castle_historic,english_information_gap,English Information Gap,0,857,0.0
castle_historic,staff_communication,Staff Communication,0,857,0.0
castle_historic,booking_ticketing,Booking / Ticketing,0,857,0.0
castle_historic,waiting_crowding,Waiting / Crowding,18,857,2.1
castle_historic,price_value,Price / Value,7,857,0.8
castle_historic,cleanliness_comfort,Cleanliness / Comfort,0,857,0.0
castle_historic,opening_hours_availability,Opening Hours / Availability,8,857,0.9
castle_historic,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,6,857,0.7
castle_historic,accessibility_mobility,Accessibility / Mobility,5,857,0.6
castle_historic,food_amenities_gap,Food / Amenities Gap,0,857,0.0
food_dining,transport_access,Transport / Access,0,76,0.0
food_dining,wayfinding_signage,Wayfinding / Signage,0,76,0.0
food_dining,english_information_gap,English Information Gap,0,76,0.0
food_dining,staff_communication,Staff Communication,0,76,0.0
food_dining,booking_ticketing,Booking / Ticketing,0,76,0.0
food_dining,waiting_crowding,Waiting / Crowding,1,76,1.3
food_dining,price_value,Price / Value,1,76,1.3
food_dining,cleanliness_comfort,Cleanliness / Comfort,0,76,0.0
food_dining,opening_hours_availability,Opening Hours / Availability,1,76,1.3
food_dining,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,1,76,1.3
food_dining,accessibility_mobility,Accessibility / Mobility,0,76,0.0
food_dining,food_amenities_gap,Food / Amenities Gap,0,76,0.0
market_shopping,transport_access,Transport / Access,0,261,0.0
market_shopping,wayfinding_signage,Wayfinding / Signage,0,261,0.0
market_shopping,english_information_gap,English Information Gap,1,261,0.4
market_shopping,staff_communication,Staff Communication,1,261,0.4
market_shopping,booking_ticketing,Booking / Ticketing,0,261,0.0
market_shopping,waiting_crowding,Waiting / Crowding,2,261,0.8
market_shopping,price_value,Price / Value,4,261,1.5
market_shopping,cleanliness_comfort,Cleanliness / Comfort,0,261,0.0
market_shopping,opening_hours_availability,Opening Hours / Availability,0,261,0.0
market_shopping,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,2,261,0.8
market_shopping,accessibility_mobility,Accessibility / Mobility,0,261,0.0
market_shopping,food_amenities_gap,Food / Amenities Gap,0,261,0.0
museum_cultural,transport_access,Transport / Access,0,945,0.0
museum_cultural,wayfinding_signage,Wayfinding / Signage,0,945,0.0
museum_cultural,english_information_gap,English Information Gap,2,945,0.2
museum_cultural,staff_communication,Staff Communication,0,945,0.0
museum_cultural,booking_ticketing,Booking / Ticketing,1,945,0.1
museum_cultural,waiting_crowding,Waiting / Crowding,3,945,0.3
museum_cultural,price_value,Price / Value,3,945,0.3
museum_cultural,cleanliness_comfort,Cleanliness / Comfort,0,945,0.0
museum_cultural,opening_hours_availability,Opening Hours / Availability,10,945,1.1
museum_cultural,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,0,945,0.0
museum_cultural,accessibility_mobility,Accessibility / Mobility,2,945,0.2
museum_cultural,food_amenities_gap,Food / Amenities Gap,0,945,0.0
nature_scenic,transport_access,Transport / Access,2,461,0.4
nature_scenic,wayfinding_signage,Wayfinding / Signage,1,461,0.2
nature_scenic,english_information_gap,English Information Gap,0,461,0.0
nature_scenic,staff_communication,Staff Communication,0,461,0.0
nature_scenic,booking_ticketing,Booking / Ticketing,0,461,0.0
nature_scenic,waiting_crowding,Waiting / Crowding,2,461,0.4
nature_scenic,price_value,Price / Value,2,461,0.4
nature_scenic,cleanliness_comfort,Cleanliness / Comfort,1,461,0.2
nature_scenic,opening_hours_availability,Opening Hours / Availability,4,461,0.9
nature_scenic,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,0,461,0.0
nature_scenic,accessibility_mobility,Accessibility / Mobility,1,461,0.2
nature_scenic,food_amenities_gap,Food / Amenities Gap,0,461,0.0
other,transport_access,Transport / Access,0,20,0.0
other,wayfinding_signage,Wayfinding / Signage,0,20,0.0
other,english_information_gap,English Information Gap,0,20,0.0
other,staff_communication,Staff Communication,0,20,0.0
other,booking_ticketing,Booking / Ticketing,0,20,0.0
other,waiting_crowding,Waiting / Crowding,0,20,0.0
other,price_value,Price / Value,0,20,0.0
other,cleanliness_comfort,Cleanliness / Comfort,0,20,0.0
other,opening_hours_availability,Opening Hours / Availability,0,20,0.0
other,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,0,20,0.0
other,accessibility_mobility,Accessibility / Mobility,0,20,0.0
other,food_amenities_gap,Food / Amenities Gap,0,20,0.0
temple_shrine,transport_access,Transport / Access,5,510,1.0
temple_shrine,wayfinding_signage,Wayfinding / Signage,1,510,0.2
temple_shrine,english_information_gap,English Information Gap,4,510,0.8
temple_shrine,staff_communication,Staff Communication,0,510,0.0
temple_shrine,booking_ticketing,Booking / Ticketing,0,510,0.0
temple_shrine,waiting_crowding,Waiting / Crowding,1,510,0.2
temple_shrine,price_value,Price / Value,0,510,0.0
temple_shrine,cleanliness_comfort,Cleanliness / Comfort,1,510,0.2
temple_shrine,opening_hours_availability,Opening Hours / Availability,1,510,0.2
temple_shrine,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,2,510,0.4
temple_shrine,accessibility_mobility,Accessibility / Mobility,2,510,0.4
temple_shrine,food_amenities_gap,Food / Amenities Gap,1,510,0.2
