friction_code,friction_label,fukui_pct,baseline_avg_pct,delta_pp,fukui_count,fukui_vs_baseline_ratio
transport_access,Transport & Access,1.04,0.13,0.92,9,8.24
itinerary_fit_time_cost,Itinerary Fit,1.04,0.16,0.89,9,6.71
opening_hours_availability,Opening Hours,1.27,0.48,0.79,11,2.64
accessibility_mobility,Accessibility,0.7,0.24,0.46,6,2.95
price_value,Price & Value,0.7,0.4,0.3,6,1.75
cleanliness_comfort,Cleanliness,0.23,0.0,0.23,2,
english_information_gap,English Info Gap,0.35,0.21,0.13,3,1.63
staff_communication,Staff Communication,0.12,0.0,0.12,1,
food_amenities_gap,Food & Amenities,0.12,0.0,0.12,1,
wayfinding_signage,Wayfinding & Signage,0.12,0.03,0.09,1,4.02
booking_ticketing,Booking & Ticketing,0.0,0.03,-0.03,0,0.0
waiting_crowding,Waiting & Crowding,0.0,0.93,-0.93,0,0.0
