friction_code,friction_label,likely_journey_stage,possible_nudge_type,example_intervention,evidence_count,cities_observed,poi_categories_observed
transport_access,Transport / Access,pre-arrival / en-route,Information provision,"Publish a consolidated English-language transit guide at Fukui Station and on the DMO website covering bus, train, and rental options to key POIs; note infrequent service and recommend combining destinations on the same route.",11,"Fukui, Kanazawa, Toyama","castle_historic, nature_scenic, temple_shrine"
wayfinding_signage,Wayfinding / Signage,on-site / arrival,Environmental design,"Install English-language directional signage at key route decision points (station exits, car parks, trailheads); supplement with QR codes linking to a mobile-friendly map of the site.",2,"Fukui, Kanazawa","nature_scenic, temple_shrine"
english_information_gap,English Information Gap,pre-visit / on-site,Information provision,Add bilingual (EN/JA) information panels at entry points and key exhibits; make a downloadable English PDF guide available via QR code at the entrance; ensure Google Maps listing includes an English description.,7,"Fukui, Kanazawa, Toyama","market_shopping, museum_cultural, temple_shrine"
staff_communication,Staff Communication,on-site,Capacity building,"Provide front-line staff with a laminated reference card of common English visitor phrases (directions, tickets, opening times); consider pairing with a simple visual menu or floor plan in English.",1,Fukui,market_shopping
booking_ticketing,Booking / Ticketing,pre-visit / arrival,Process simplification,Offer an English-language online booking option or clearly communicate reservation requirements on the attraction website and Google Maps listing; display accepted payment methods (cash/card) at the entrance.,1,Kanazawa,museum_cultural
waiting_crowding,Waiting / Crowding,on-site,Demand management,Add visit timing guidance to the attraction website and Google Maps listing (e.g. 'quietest before 10am on weekdays'); consider a simple real-time or estimated crowd-level indicator at the entrance.,27,"Kanazawa, Toyama","castle_historic, food_dining, market_shopping, museum_cultural, nature_scenic, temple_shrine"
price_value,Price / Value,pre-visit / on-site,Expectation framing,"Clearly state entry fees and what is included on all pre-visit touchpoints (website, Google Maps, DMO listing); explore a combination ticket with a nearby attraction to improve perceived value.",17,"Fukui, Kanazawa, Toyama","castle_historic, food_dining, market_shopping, museum_cultural, nature_scenic"
cleanliness_comfort,Cleanliness / Comfort,on-site,Facilities management,Introduce a visible scheduled maintenance log at restrooms and high-footfall areas; add seating and shade at key viewing points where practicable.,2,Fukui,"nature_scenic, temple_shrine"
opening_hours_availability,Opening Hours / Availability,pre-visit,Information provision,"Standardise and keep up-to-date: Google Maps hours, official website, and physical entrance signage; flag seasonal closures at least 4 weeks in advance on all channels; add a 'check before you visit' note on DMO listings for POIs with variable hours.",24,"Fukui, Kanazawa, Toyama","castle_historic, food_dining, museum_cultural, nature_scenic, temple_shrine"
itinerary_fit_time_cost,Itinerary Fit / Time & Cost,pre-visit / planning,Planning support,Publish DMO-curated half-day and full-day itinerary templates that pair lower-traffic or remote attractions with anchor destinations on the same transport corridor; include realistic travel time estimates.,11,"Fukui, Kanazawa, Toyama","castle_historic, food_dining, market_shopping, temple_shrine"
accessibility_mobility,Accessibility / Mobility,pre-visit / on-site,Environmental design,"Map and publish step-free and wheelchair-accessible routes for each attraction; indicate surface type, gradient, and lift/ramp availability on the website and at the entrance.",10,"Fukui, Kanazawa, Toyama","castle_historic, museum_cultural, nature_scenic, temple_shrine"
food_amenities_gap,Food / Amenities Gap,on-site,Information provision,"Post a nearby dining guide (English, with opening hours) at the attraction entrance; for remote sites, add a 'bring food and water' advisory to pre-visit materials; flag the nearest convenience store on the site map.",1,Fukui,temple_shrine
