prefecture,month,n,transport_satisfaction,product_service_sat,nps,revisit_intent
Fukui,2023-04-01,241,4.180327868852459,4.128630705394191,7.273858921161826,4.551136363636363
Fukui,2023-05-01,3084,4.237455830388693,4.1530479896238655,7.4912451361867705,4.544475655430712
Fukui,2023-06-01,2258,4.297497683039852,4.170947741364039,7.5217006200177146,4.545335942596217
Fukui,2023-07-01,2440,4.201000834028357,4.158606557377049,7.43811475409836,4.555237550085861
Fukui,2023-08-01,1992,4.172077922077922,4.1194779116465865,7.552208835341365,4.54069355980184
Fukui,2023-09-01,1740,4.21840490797546,4.156896551724138,7.429885057471265,4.579831932773109
Fukui,2023-10-01,1815,4.141546526867628,4.083746556473829,7.239118457300275,4.563619227144204
Fukui,2023-11-01,2388,4.1668137687555165,4.134840871021775,7.576633165829146,4.5989044430919055
Fukui,2023-12-01,1929,4.214640198511166,4.177293934681182,7.457231726283048,4.659090909090909
Fukui,2024-01-01,878,4.291770573566085,4.175398633257403,7.673120728929385,4.651685393258427
Fukui,2024-02-01,1344,4.159332321699544,4.137648809523809,7.567708333333333,4.576878612716763
Fukui,2024-03-01,3149,4.155107187894073,4.176246427437282,7.698316926008257,4.565961278703287
Fukui,2024-04-01,3227,4.194143857415659,4.160830492717695,7.629377130461729,4.533705452984114
Fukui,2024-05-01,2927,4.26056338028169,4.1827810044414075,7.734540485138367,4.5903846153846155
Fukui,2024-06-01,2322,4.221062618595825,4.180878552971576,7.71619293712317,4.541014402003757
Fukui,2024-07-01,1892,4.2844444444444445,4.204016913319239,7.760042283298097,4.555471124620061
Fukui,2024-08-01,2603,4.304128053917439,4.243949289281598,7.883980023050326,4.574846967167502
Fukui,2024-09-01,2648,4.281545741324921,4.243957703927492,7.837235649546828,4.597989949748744
Fukui,2024-10-01,2215,4.247302158273381,4.212189616252822,7.878555304740407,4.573063973063973
Fukui,2024-11-01,2537,4.200161420500404,4.177374852187623,7.802128498226251,4.545504087193461
Fukui,2024-12-01,1940,4.292631578947368,4.261855670103093,8.022680412371134,4.573421439060206
Fukui,2025-01-01,1461,4.362517099863201,4.277207392197125,8.016427104722792,4.619703389830509
Fukui,2025-02-01,1370,4.248010610079576,4.242335766423357,7.918248175182482,4.599318955732123
Fukui,2025-03-01,2720,4.2441176470588236,4.285661764705883,7.990073529411765,4.5464684014869885
Fukui,2025-04-01,1690,4.360049321824907,4.245562130177515,7.915384615384616,4.516789516789517
Fukui,2025-05-01,2989,4.272197962154294,4.245232519237203,7.875209100033456,4.572348860257681
Fukui,2025-06-01,1827,4.36126224156692,4.238095238095238,7.852216748768473,4.636600173460538
Fukui,2025-07-01,1735,4.363433667781494,4.2818443804034585,8.009221902017291,4.585470085470085
Fukui,2025-08-01,2251,4.36455463728191,4.29009329187028,7.97734340293203,4.571889103803997
Fukui,2025-09-01,2342,4.358208955223881,4.284372331340735,7.97267292912041,4.601070950468541
Fukui,2025-10-01,1814,4.307855626326964,4.219404630650496,7.742557883131202,4.570652173913044
Fukui,2025-11-01,2112,4.358540925266904,4.253314393939394,7.9772727272727275,4.590999338186632
Fukui,2025-12-01,1349,4.3202453987730065,4.294292068198666,8.04373610081542,4.61151832460733
Fukui,2026-01-01,905,4.201520912547529,4.259668508287293,8.045303867403314,4.577669902912621
Fukui,2026-02-01,1036,4.3116666666666665,4.250965250965251,7.987451737451737,4.582763337893297
Fukui,2026-03-01,1954,4.23558648111332,4.2876151484135105,8.08444216990788,4.576754385964913
Fukui,2026-04-01,1543,4.308921438082557,4.24951393389501,7.92352559948153,4.5797373358348965
Fukui,2026-05-01,2357,4.343416370106762,4.274501484938481,7.979210861264319,4.574556213017751
Fukui,2026-06-01,492,4.290196078431372,4.219512195121951,7.7560975609756095,4.535384615384616
Ishikawa,2023-09-01,24,4.7272727272727275,4.5,8.708333333333334,4.571428571428571
Ishikawa,2023-10-01,380,4.137440758293839,4.08421052631579,8.384210526315789,4.531914893617022
Ishikawa,2023-11-01,517,4.2,4.152804642166345,8.381044487427467,4.549019607843137
Ishikawa,2023-12-01,739,4.171503957783641,4.299052774018945,8.480378890392423,4.575987841945289
Ishikawa,2024-01-01,422,4.139013452914798,4.165876777251185,8.263033175355451,4.663129973474801
Ishikawa,2024-02-01,660,4.148148148148148,4.133333333333334,8.431818181818182,4.636515912897822
Ishikawa,2024-03-01,811,4.140877598152425,4.235511713933415,8.318125770653515,4.622282608695652
Ishikawa,2024-04-01,549,4.14760147601476,4.205828779599272,8.056466302367943,4.527724665391969
Ishikawa,2024-05-01,271,4.1875,4.162361623616236,7.904059040590406,4.624
Ishikawa,2024-06-01,452,4.2018779342723,4.227876106194691,8.064159292035399,4.56221198156682
Ishikawa,2024-07-01,615,4.089108910891089,4.284552845528455,8.138211382113822,4.564102564102564
Ishikawa,2024-08-01,1113,4.204545454545454,4.403414195867026,8.358490566037736,4.616122840690979
Ishikawa,2024-09-01,745,4.015873015873016,4.331543624161074,8.170698924731182,4.512125534950071
Ishikawa,2024-10-01,565,4.1482758620689655,4.313274336283186,8.169911504424778,4.485347985347985
Ishikawa,2024-11-01,634,4.061290322580645,4.315457413249211,8.186119873817034,4.51158940397351
Ishikawa,2024-12-01,378,4.065656565656566,4.291005291005291,8.238095238095237,4.579670329670329
Ishikawa,2025-01-01,388,4.067264573991031,4.296391752577319,8.262886597938145,4.564864864864865
Ishikawa,2025-02-01,312,4.095744680851064,4.3493589743589745,8.477564102564102,4.597315436241611
Ishikawa,2025-03-01,405,4.153846153846154,4.296296296296297,8.17283950617284,4.534351145038168
Ishikawa,2025-04-01,272,4.268115942028985,4.3088235294117645,8.253676470588236,4.608695652173913
Ishikawa,2025-05-01,344,4.195121951219512,4.316860465116279,8.36046511627907,4.549079754601227
Ishikawa,2025-06-01,224,4.186440677966102,4.321428571428571,8.375,4.487804878048781
Ishikawa,2025-07-01,515,4.196363636363636,4.318446601941748,8.271844660194175,4.588842975206612
Ishikawa,2025-08-01,1091,4.260536398467433,4.329055912007333,8.33180568285976,4.535540408958131
Ishikawa,2025-09-01,1045,4.268602540834846,4.3416267942583735,8.225837320574163,4.513989637305699
Ishikawa,2025-10-01,1375,4.194008559201142,4.333090909090909,8.308363636363636,4.576018808777429
Ishikawa,2025-11-01,1730,4.247607655502392,4.368208092485549,8.363583815028901,4.564134495641345
Ishikawa,2025-12-01,1337,4.199426111908178,4.37247569184742,8.37397157816006,4.60176282051282
Ishikawa,2026-01-01,1188,4.1503067484662575,4.345959595959596,8.225589225589225,4.63013698630137
Ishikawa,2026-02-01,1375,4.23224043715847,4.341090909090909,8.261090909090909,4.603406326034063
Ishikawa,2026-03-01,1943,4.19215291750503,4.31394750386001,8.239320638188369,4.551587301587301
Ishikawa,2026-04-01,1383,4.242176870748299,4.282718727404194,8.224873463485178,4.5603864734299515
Ishikawa,2026-05-01,2064,4.262310606060606,4.32218992248062,8.17781007751938,4.540827147401909
Ishikawa,2026-06-01,425,4.125,4.263529411764706,8.136470588235294,4.5487179487179485
