spec,outcome,estimate,se_cluster,p_value,ci_low,ci_high,n,n_clusters
baseline,transport_satisfaction,0.05467610357673236,0.02427214862918083,0.024282661050884394,0.0071035664361346895,0.10224864071733003,51347,73
baseline,product_service_sat,-0.03714520790394436,0.036913046460317345,0.31427637108334916,-0.10949344952582009,0.03520303371793136,103807,73
baseline,nps,0.5508142931385146,0.05065587655197489,1.5391666757034096e-27,0.4515305994913368,0.6500979867856924,103806,73
baseline,revisit_intent,0.038215064079787565,0.02411582080712584,0.11304655068386792,-0.00905107615980074,0.08548120431937586,77106,73
composition_controls,transport_satisfaction,0.06165786400624686,0.024623217615021054,0.012277932942590714,0.013397244297313343,0.10991848371518037,51347,73
composition_controls,product_service_sat,-0.03369117751175754,0.03503245002778424,0.3361935766537958,-0.10235351785641386,0.03497116283289878,103807,73
composition_controls,nps,0.5562394451461691,0.04677509164428702,1.3058175801669813e-32,0.4645619501498061,0.6479169401425321,103806,73
composition_controls,revisit_intent,0.038955999622158344,0.023496354529033574,0.09732568060612361,-0.007096009022732046,0.08500800826704874,77106,73
drop_jan_mar_2024,transport_satisfaction,0.077339052487703,0.028202831065931546,0.006102094043396183,0.022062519336409785,0.1326155856389962,47667,67
drop_jan_mar_2024,product_service_sat,-0.013123196980942609,0.04942569023464518,0.7906137715666599,-0.10999576975188022,0.083749375789995,96543,67
drop_jan_mar_2024,nps,0.619291131853592,0.045006133381397986,4.426095649516378e-43,0.531080731342646,0.7075015323645379,96542,67
drop_jan_mar_2024,revisit_intent,0.0012746251793657182,0.018030083951600166,0.943641012604495,-0.03406369000400423,0.036612940362735664,71776,67
drop_noto_sites,transport_satisfaction,0.061758610565220536,0.02435340168161889,0.011214798350907254,0.014026820368210326,0.10949040076223074,50888,73
drop_noto_sites,product_service_sat,-0.036931635473030855,0.03513243332082878,0.2931612332978236,-0.10578993947111019,0.03192666852504848,102962,73
drop_noto_sites,nps,0.570478351463155,0.04844505236303578,5.203262449140578e-32,0.4755277936024478,0.6654289093238621,102961,73
drop_noto_sites,revisit_intent,0.04490272785492888,0.02268147433381978,0.04773619216479817,0.00044785504437249574,0.08935760066548526,76331,73
drop_jan_mar_2024_and_noto,transport_satisfaction,0.07672207454468127,0.028047777461915634,0.006230327155042438,0.02174944087293238,0.13169470821643017,47213,67
drop_jan_mar_2024_and_noto,product_service_sat,-0.01701496906318889,0.051737809113573806,0.742254596730644,-0.11841921156480173,0.08438927343842395,95707,67
drop_jan_mar_2024_and_noto,nps,0.6483291907033737,0.04172735065077836,1.9407087942823794e-54,0.5665450862575742,0.7301132951491732,95706,67
drop_jan_mar_2024_and_noto,revisit_intent,0.007649419515510569,0.01735256250946462,0.6593406884855258,-0.02636097804252007,0.04165981707354121,71010,67
