city,language_group,count,mean,median,std
Fukui,english,214,4.5327102803738315,5.0,0.9326398195656014
Fukui,japanese,1800,4.261666666666667,5.0,0.9358985302486712
Fukui,other_non_english_non_japanese,186,4.311827956989247,5.0,1.0447137937166089
Fukui,undetected_or_too_short,9,4.555555555555555,5.0,0.7264831572567788
Kanazawa,english,536,4.42910447761194,5.0,0.9660653120751551
Kanazawa,japanese,1050,4.223809523809524,4.0,0.9853090382043449
Kanazawa,other_non_english_non_japanese,566,4.432862190812721,5.0,0.8993102206749425
Kanazawa,undetected_or_too_short,13,4.6923076923076925,5.0,0.6304251719561154
Toyama,english,169,4.621301775147929,5.0,0.7782891555072341
Toyama,japanese,1187,4.298230834035383,5.0,0.9064255748403635
Toyama,other_non_english_non_japanese,288,4.565972222222222,5.0,0.7199170678568196
Toyama,undetected_or_too_short,18,4.277777777777778,5.0,1.1274936053323579
